variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.1761592801818014,.2483713969477027,.7092575165524945,.4781646867781076,-.3106397126255973,.6629582729892002
apt,12929035.36939015,3931550521389.76,3.28853344223e-06,.9999973761299388,-7705684496288.231,7705710354358.97
att,.0020351361605268,.0026588068886951,.7654321076043321,.4440142799336458,-.0031760295831626,.0072463019042162
scale,.0115528183268374,.0020377542372241,5.669387463806868,1.43308943747e-08,.0075588934125344,.0155467432411404
