variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.1884232345787182,.1659013752198711,1.135754506730271,.2560593215736436,-.1367374858378948,.5135839549953313
apt,1085388.749757842,403297.0013111703,2.691288916677049,.0071176524529735,294941.1521149453,1875836.347400738
att,.0669466994663606,.0517324215023005,1.294095608174528,.1956323983750911,-.0344469835111939,.1683403824439151
scale,.3552995978231765,.0516956691995675,6.872908375584949,6.29059733873e-12,.2539779480353276,.4566212476110254
