variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.1558622457013369,.1470657789138916,1.05981314519536,.2892296153339094,-.1323813843282207,.4441058757308944
apt,7513308.336132577,1416882.774458527,5.302702856983949,1.14100562852e-07,4736269.127878675,10290347.54438648
att,.0208271344999812,.0169179524651678,1.231067089404702,.2182977731880825,-.0123314430239083,.0539857120238707
scale,.133625268943514,.0196399737165162,6.803739703131191,1.01937653276e-11,.0951316278018291,.1721189100851989
