variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.2368152936433567,.1804051569692432,1.312685832388543,.1892888335362444,-.116772316641655,.5904029039283684
apt,1549526.744339819,420210.7037791112,3.687499462541884,.0002264685718252,725928.8990145321,2373124.589665106
att,.0166816168592874,.0114749799243286,1.453738217347116,.1460188982535251,-.0058089305157168,.0391721642342916
scale,.0704414677052483,.0082946411848941,8.492406860652881,2.02401001081e-17,.0541842697181733,.0866986656923233
