variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.1453696126749616,.1598415512250285,.9094607225771162,.3631069815808856,-.1679140709591085,.4586532963090316
apt,766630.7983618953,233991.1563517961,3.276323816312515,.0010516790567091,308016.5592114942,1225245.037512296
att,.0275107031639244,.0282441015428358,.9740335737782584,.3300398694081224,-.027846718635726,.0828681249635748
scale,.1892465877682209,.0201279328635701,9.402186953372732,5.34405550052e-21,.1497965642723834,.2286966112640584
