variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,-.1045366361626605,.2088545205096962,-.5005236942324518,.6167063765804192,-.5138839743700471,.304810702044726
apt,1144951.337451216,333371.9729011465,3.434455894679317,.0005937446861323,491554.2771099061,1798348.397792526
att,-.0485108912188146,.1150441858818858,-.4216718198051316,.6732645762034579,-.273993352178042,.1769715697404128
scale,.4640563633914044,.1116626009742281,4.155879939591495,.0000324037963087,.2452016870618501,.6829110397209587
