variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.1731116415929147,.106661114838439,1.623006114788217,.1045880977175617,-.0359403020413165,.3821635852271459
apt,6323530.598083627,4316455.981928544,1.464982065045488,.1429258110247535,-2136567.667348792,14783628.86351605
att,.0227370899869146,.012530018564183,1.814609441354577,.0695839505494337,-.0018212951245024,.0472954750983316
scale,.1313435062927923,.0148735509005151,8.830675819870542,1.04045137891e-18,.1021918822055594,.1604951303800251
