variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.0994676713239258,.277043353625438,.359032873455632,.7195704971124459,-.4435273239381268,.6424626665859784
apt,14243951.52308692,4118644624314.213,3.45840751567e-06,.9999972405900382,-8072380884823.834,8072409372726.881
att,.0022630769543558,.0059045095354268,.3832794139424184,.7015126012737147,-.009309549081454,.0138357029901656
scale,.0227518843482912,.004885097400063,4.657406492652039,3.20217787541e-06,.0131772693831974,.032326499313385
