variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.200122237987945,.1319274334018725,1.516911477981535,.1292890352900334,-.0584507800525317,.4586952560284218
apt,7693320.126959846,2436305.849457284,3.157780920106408,.0015897498181057,2918248.406699307,12468391.84722039
att,.0509488643077821,.0284620989114038,1.790059983502081,.0734442689542467,-.004835824482986,.1067335530985502
scale,.2545887194748001,.0363830625431877,6.997451607395503,2.60660049050e-12,.1832792272428839,.3258982117067163
