variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.1992119380462956,.2676094513735428,.7444129384213173,.4566266938659982,-.3252929485683712,.7237168246609624
apt,13861520.00880762,478485752061.1476,.0000289695564583,.9999768856381719,-937800979635.4025,937828702675.42
att,.0043315835539892,.0051463653102669,.8416782122613399,.3999680970389003,-.0057551071054202,.0144182742133986
scale,.0217435942668384,.003988187268784,5.451999317341053,4.98066473586e-08,.0139268908564207,.0295602976772561
