variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre6,.2435970114965955,.2359306023407297,1.032494339775363,.3018405978826627,-.2188184719420761,.7060124949352671
pre5,.0259313700422523,.3229835897050442,.080286958436289,.9360090303889452,-.607104833377096,.6589675734616006
pre4,-.1950126965334539,.3706856367284264,-.5260864657573044,.5988281318182922,-.9215431941074674,.5315178010405597
pre3,-.4107514265163952,.3792920520186292,-1.082942350967641,.2788340122006521,-1.154150188095201,.3326473350624106
pre2,-.0913298079859192,.2598752230592685,-.3514371509171925,.7252604152147992,-.6006758856563984,.41801626968456
post0,.2553225953203818,.3931978495279452,.6493489108012928,.5161128782180713,-.5153310285529902,1.025976219193754
post1,.1630219889117775,.4003791451517555,.4071690318684989,.6838838448363247,-.6217067157465979,.947750693570153
post2,.3416116795446835,.4037685260839384,.8460582177068123,.3975202678100787,-.4497600896706571,1.132983448760024
post3,.4686776367044281,.3307011584752056,1.417224054688539,.1564174310476429,-.1794847235526478,1.116839996961504
post4,-.3567898501190288,.5106640306605915,-.6986782477267645,.4847531308776281,-1.357672958413846,.6440932581757883
post5,.1613481475202054,.4742155175299462,.3402422349243694,.7336741145397649,-.7680971877485118,1.090793482788923
post6,-.0834932892945217,.4591337647147675,-.18184959528383,.8557007619524396,-.983378932221753,.8163923536327096
