variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.0955976307685732,.2906208429465359,.3289427895099727,.7421989310104223,-.4740087545633085,.6652040161004549
apt,15113903.12746285,18657399.44508678,.8100755505581959,.4178967553106834,-21453927.83008482,51681734.08501052
att,.0041524612762949,.0113313455214121,.3664579169744891,.7140234092121206,-.0180565678420521,.0263614903946419
scale,.0434368638941205,.0094205892751434,4.610843613438319,4.01038157096e-06,.0249728482016951,.0619008795865459
