variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre12,.3732948767249487,.1321071017585047,2.825698783456332,.0047177605094354,.1143697151763114,.6322200382735861
pre11,-.0592256625349109,.1878621096056858,-.3152613513135935,.7525632270177963,-.4274286314217711,.3089773063519493
pre10,-.0408668362875476,.1759057289633052,-.2323223724911917,.8162876370185177,-.3856357297298901,.3039020571547948
pre9,-.0622727077023853,.1852158411732873,-.3362169634514316,.7367072617808397,-.4252890857683192,.3007436703635486
pre8,-.1443946463229488,.1853813604623244,-.7789059588452775,.4360351135142131,-.5077354362341422,.2189461435882445
pre7,.1773201806573476,.1347264243374789,1.316149979703868,.1881237086116748,-.0867387588099716,.4413791201246668
pre6,-.0529432149946353,.1838325113047954,-.2879970176050913,.7733490216062682,-.4132483163395865,.307361886350316
pre5,-.0227010544261377,.1560156013295347,-.145505027911848,.884312146298496,-.3284860140583851,.2830839052061098
pre4,-.1748504036615759,.1928216389202115,-.9067986593243718,.3645132790030818,-.5527738713851771,.2030730640620254
pre3,-.0562464758243362,.1601784640543871,-.3511488024085324,.7254767171142897,-.3701904964698786,.2576975448212062
pre2,-.0564101282555243,.1688814104457197,-.3340221289403261,.7383628602631087,-.3874116103874613,.2745913538764126
post0,.2993849264840296,.1647917465733992,1.816747092674825,.0692558473171662,-.0236009617492847,.6223708147173439
post1,.0419334798495478,.2136140477668848,.1963048792339231,.8443715426156544,-.3767423603653652,.4606093200644608
post2,.3861220272618548,.1678078360280047,2.300977334559136,.0213929122519129,.0572247123233627,.7150193422003469
post3,.3338951488201926,.2161715156396341,1.544584390927842,.1224468241431434,-.0897932363169271,.7575835339573124
post4,-.0311032286808597,.2177186852602274,-.1428597120347465,.8864009772713525,-.4578240105523169,.3956175531905975
post5,-.1241673708836386,.2071552612029491,-.5993927943833025,.5489109809009007,-.5301842220494064,.2818494802821292
post6,-.2859784292493865,.2517235212409068,-1.136081474784777,.2559224673523334,-.7793474649431671,.2073906064443941
post7,.2616755926610584,.2155377833696655,1.214059032110684,.2247251826938969,-.1607707000510822,.684121885373199
post8,.032437437033914,.2092317907775325,.1550311112540417,.8767967905800962,-.3776493373108694,.4425242113786974
post9,.128521292993826,.2267560737396378,.5667821411539991,.5708622054436145,-.3159124448115728,.5729550307992247
post10,.0030644183534219,.2170627824986922,.0141176590392246,.9887361119835557,-.4223708177280659,.4284996544349097
post11,.1214151446472248,.212491459616845,.571388350694918,.5677364239357263,-.2950604632241386,.5378907525185882
post12,.3915687279737259,.2066599325496239,1.894749132755577,.0581256451199591,-.0134772968710138,.7966147528184655
