variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.0309664624608376,.1056793159499707,.293022926790114,.7695046274202534,-.1761611907119343,.2380941156336095
apt,1734115.421522601,562374.3563834938,3.083560624410966,.0020453943122441,631881.9371820604,2836348.905863142
att,.0070658743745058,.0228595408056399,.3090995761718242,.7572457815769268,-.037738002307672,.0518697510566836
scale,.2281782875083584,.0323975798067494,7.043065836072788,1.88055316061e-12,.1646801979008674,.2916763771158494
