variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.0758875972003605,.2733725604030139,.2775977116667626,.7813211889547711,-.4599127755510472,.6116879699517682
apt,11400429.73820384,988757419358.2404,.0000115300573376,.9999908003452653,-1937917530959.179,1937940331818.656
att,.0035180408710293,.0117686504632387,.2989332448965564,.7649909804806511,-.0195480901835591,.0265841719256177
scale,.04635857506123,.0094682278135719,4.896225140968708,9.76951324866e-07,.0278011895492086,.0649159605732514
