variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre6,-.0846916198052839,.0996816504620992,-.8496209624607411,.3955358536056109,-.2800640646305088,.1106808250199409
pre5,-.0088661041146768,.1008550209316742,-.0879093973981056,.9299486874805081,-.2065383128007914,.1888061045714378
pre4,.123789701902095,.0912532887586734,1.356550581201152,.1749240532481267,-.0550634575357386,.3026428613399286
pre3,-.0657788457690466,.1054304180911941,-.6239076630821091,.5326882274184048,-.2724186681027871,.1408609765646939
pre2,.1405849642343827,.0905187533437002,1.553103186259988,.1203984850332563,-.0368285322447342,.3179984607134996
post0,.2052853212299567,.1235057904343396,1.662151389890455,.0964824237875821,-.0367815799035003,.4473522223634138
post1,.159672153438734,.1258330268426731,1.268920866366581,.2044692892883868,-.0869560472385671,.4063003541160351
post2,.0953471951907776,.140135599413329,.6803923884433657,.4962560392609618,-.1793135326112794,.3700079229928346
post3,.0446506610369792,.136490060450116,.3271348909197531,.7435658632070625,-.2228649416929429,.3121662637669013
post4,.025878146620077,.1579357267523221,.1638523920598385,.8698473460895861,-.2836701896866334,.3354264829267874
post5,-.261919380919985,.1897217160590781,-1.380545076022953,.1674188809028947,-.6337671114809125,.1099283496409424
post6,.0323397977144601,.1736124363170132,.1862758129573633,.8522284739608557,-.3079343247351394,.3726139201640596
