variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,-.0426917605949228,.2182237733011556,-.1956329502927568,.8448974679822709,-.4704024968356211,.3850189756457755
apt,1635473.060121964,881740.803366893,1.854822929682934,.063621516532799,-92707.15817655972,3363653.278420487
att,-.0137520372270084,.0757138907817839,-.1816316277635677,.8558718263163071,-.1621485362887041,.1346444618346873
scale,.3221239188866786,.0724601680761802,4.445530937052441,8.76750619511e-06,.1801045991436465,.4641432386297106
