variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
imput,.2542476847498263,.1808275856463792,1.406022669832163,.1597173931923396,-.100167870528409,.6086632400280616
apt,1541158.278431981,387685.869552962,3.975275859832293,.0000702977240917,781307.9367930823,2301008.62007088
att,.033707503425091,.0215020408729186,1.567642049622602,.1169646929084204,-.0084357222799375,.0758507291301195
scale,.1325774252703948,.0155498945474275,8.525937257389828,1.51577413170e-17,.1021001919940412,.1630546585467484
