id_osm,intersec,radar_proximo
4685095,1,FALSE
4708274,NA,FALSE
4708275,7,TRUE
4708294,11,FALSE
4708389,2,FALSE
4708390,4,FALSE
4708393,3,FALSE
4708394,4,FALSE
4708402,NA,FALSE
4708403,NA,FALSE
4708404,2,FALSE
4708405,5,FALSE
4708406,3,FALSE
4708407,3,FALSE
4708408,3,FALSE
4708438,NA,FALSE
4708439,NA,FALSE
4708541,8,FALSE
4708565,NA,FALSE
4708568,1,FALSE
4708573,9,FALSE
4708574,4,FALSE
4727807,4,FALSE
4727808,3,FALSE
4727809,3,FALSE
4727810,2,FALSE
4727811,1,FALSE
4727898,5,FALSE
4727925,4,FALSE
4727926,6,FALSE
4727950,1,FALSE
4729434,NA,FALSE
4734472,1,FALSE
4734473,5,TRUE
4734474,NA,FALSE
4734475,NA,FALSE
4734476,NA,FALSE
4734487,NA,FALSE
4734488,NA,FALSE
4734490,NA,FALSE
4734507,NA,FALSE
4734544,4,FALSE
4734548,NA,FALSE
4734550,NA,FALSE
4734581,1,FALSE
4734623,3,TRUE
4734625,4,FALSE
4767946,3,FALSE
4768056,NA,FALSE
4768071,NA,FALSE
4768072,NA,FALSE
4768073,3,FALSE
4768074,NA,FALSE
4768075,NA,FALSE
4768077,NA,FALSE
4769059,2,FALSE
4769241,2,FALSE
4769546,1,FALSE
4769549,5,TRUE
4769567,3,FALSE
4769571,4,FALSE
4769574,NA,FALSE
4769580,NA,FALSE
4769583,6,FALSE
4769584,1,FALSE
4769585,4,FALSE
4769589,3,FALSE
4769663,NA,FALSE
4769664,NA,FALSE
4769666,2,FALSE
4770190,5,FALSE
4770191,11,FALSE
4770192,2,FALSE
4770193,2,FALSE
4770194,3,FALSE
4770195,2,FALSE
4770196,3,FALSE
4770197,2,FALSE
4770307,NA,FALSE
4774365,10,FALSE
4774366,1,FALSE
4774367,5,FALSE
4774368,2,FALSE
4774370,2,FALSE
4774371,4,FALSE
4774372,3,FALSE
4774373,2,FALSE
4774374,4,FALSE
4774375,3,FALSE
4774376,2,FALSE
4774377,4,FALSE
4774378,2,FALSE
4774379,4,FALSE
4774380,3,FALSE
4774398,4,FALSE
4774399,4,FALSE
4774400,6,FALSE
4774401,5,FALSE
4774402,5,FALSE
4774403,3,FALSE
4774404,1,FALSE
4774406,3,FALSE
4774431,4,FALSE
4806125,2,FALSE
4806126,3,FALSE
4806217,1,FALSE
4806302,1,FALSE
4806303,NA,FALSE
4806304,2,FALSE
4806320,4,FALSE
4806339,1,FALSE
4806376,NA,FALSE
4806411,NA,FALSE
4806456,3,FALSE
4806457,2,FALSE
4806458,NA,FALSE
4806461,3,FALSE
4806558,3,FALSE
4806560,2,FALSE
4809048,5,FALSE
4809049,6,FALSE
4809050,1,FALSE
4809052,1,FALSE
4809053,3,FALSE
4809054,NA,FALSE
4809055,5,FALSE
4809056,3,FALSE
4809057,1,FALSE
4809072,4,FALSE
4809073,3,FALSE
4809087,3,FALSE
4873772,4,FALSE
4873773,3,FALSE
4873995,7,FALSE
4873996,4,FALSE
4873997,5,FALSE
4873998,1,FALSE
4873999,3,FALSE
4874000,3,FALSE
4874001,4,FALSE
4874002,3,FALSE
4874003,2,FALSE
4874005,4,FALSE
4874007,7,FALSE
4874009,1,FALSE
4874010,2,FALSE
4874147,2,FALSE
4874148,2,FALSE
4874151,2,FALSE
4874152,4,FALSE
4874153,2,FALSE
4874154,3,FALSE
4874155,3,FALSE
4874157,3,FALSE
4874158,4,FALSE
4874160,2,FALSE
4874161,3,FALSE
4874162,4,FALSE
4874164,2,FALSE
4874165,NA,FALSE
4874166,3,FALSE
4877428,3,FALSE
4877429,3,FALSE
4877430,1,FALSE
4877431,3,FALSE
4877432,4,FALSE
4877433,4,FALSE
4877434,5,FALSE
4877435,8,FALSE
4877436,3,FALSE
4877438,1,FALSE
