ano,mes,tipo_veiculo,frota
2019,3,camioneta,471290
2019,3,trator rodas,3257
2007,5,outros,240
2007,2,reboque,36211
2007,3,automovel,3833391
2007,5,automovel,3872146
2007,4,motocicleta,451642
2007,2,micro-onibus,26674
2007,3,chassi plataforma,828
2018,5,onibus,44817
2018,6,outros,792
2018,6,reboque,51032
2018,7,reboque,51177
2018,7,motoneta,160476
2018,4,side-car,91
2018,7,automovel,5674948
2018,4,ciclomotor,3913
2018,6,utilitario,125622
2018,5,caminhonete,487288
2018,7,motocicleta,944534
2019,8,side-car,91
2019,6,trator esteira,5
2014,5,onibus,41786
2014,5,outros,391
2014,3,caminhao,116345
2014,6,automovel,5059936
2014,4,camioneta,362950
2014,3,ciclomotor,3012
2014,4,utilitario,77886
2014,3,utilitario,76694
2014,5,caminhonete,408748
2014,6,quadriciclo,21
2014,4,chassi plataforma,212
2017,11,outros,688
2017,11,caminhonete,478906
2017,12,semi-reboque,38071
2017,11,semi-reboque,38182
2023,1,onibus,50317
2015,3,onibus,43033
2015,2,automovel,5186930
2015,4,ciclomotor,3112
2015,3,utilitario,89497
2015,4,motocicleta,844465
2015,4,trator esteira,4
2004,6,outros,272
2004,6,reboque,33614
2004,4,caminhao,116734
2004,5,caminhao,116993
2004,6,side-car,65
2004,5,triciclo,155
2004,6,camioneta,311148
2004,3,quadriciclo,26
2004,5,trator rodas,1513
2004,6,caminhao trator,12208
2009,5,outros,231
2009,6,caminhao,135949
2009,5,caminhao,135773
2009,7,quadriciclo,23
2009,7,micro-onibus,29733
2009,8,semi-reboque,27366
2009,7,semi-reboque,27331
2020,6,bonde,8
2020,5,onibus,48032
2020,6,onibus,48112
2020,7,caminhao,137748
2020,8,quadriciclo,43
2020,6,semi-reboque,40447
2020,5,trator rodas,3369
2022,10,bonde,8
2022,8,bonde,8
2022,9,reboque,61154
2022,8,micro-onibus,41334
2022,10,trator rodas,3623
2022,8,trator rodas,3609
2022,8,chassi plataforma,201
2005,6,onibus,33965
2005,7,outros,250
2005,8,outros,248
2005,5,motoneta,50132
2005,6,side-car,70
2005,6,triciclo,183
2005,6,utilitario,6945
