id_osm_radar,limite_velocidade,limite_velocidade_pesados,geometry
10966090596,50,NA,"c(-46.6926288, -23.5680024)"
10966868723,50,NA,"c(-46.6220532, -23.5691665)"
11055805000,50,NA,"c(-46.5410261, -23.4634655)"
11071199291,NA,NA,"c(-46.4796718, -23.6973672)"
11071202434,NA,NA,"c(-46.4796744, -23.6975583)"
11094156410,90,NA,"c(-46.4826892, -23.458539)"
11205627618,40,NA,"c(-46.6407825, -23.4713342)"
11293322486,50,NA,"c(-46.6539786, -23.5634273)"
11301329755,50,NA,"c(-46.7487044, -23.6442474)"
11303448653,60,NA,"c(-46.5429607, -23.682007)"
11373352345,120,NA,"c(-46.7455625, -23.4746525)"
11373380947,100,NA,"c(-46.7621422, -23.4348503)"
11386391711,50,NA,"c(-46.6533132, -23.6220962)"
11420308547,40,NA,"c(-46.7769866, -23.6784356)"
11420308548,40,NA,"c(-46.777018, -23.6783609)"
11420346486,40,NA,"c(-46.7358624, -23.6559868)"
11420346489,50,NA,"c(-46.7499993, -23.6487098)"
11420346509,50,NA,"c(-46.744189, -23.6729983)"
11420346511,50,NA,"c(-46.7432739, -23.6725146)"
11420346513,50,NA,"c(-46.7632292, -23.6788552)"
11420346515,50,NA,"c(-46.7674197, -23.682225)"
11420346519,50,NA,"c(-46.7719928, -23.6877043)"
11420346520,50,NA,"c(-46.7718708, -23.687784)"
11420346524,40,NA,"c(-46.772334, -23.6783751)"
11420346525,40,NA,"c(-46.7722919, -23.6783203)"
11458365224,50,NA,"c(-46.4066642, -23.4328781)"
11458365225,50,NA,"c(-46.4119839, -23.4340847)"
11488842823,80,60,"c(-46.5801799, -23.4067676)"
11532117831,120,90,"c(-46.5944046, -23.7539661)"
11532139641,80,NA,"c(-46.4884516, -23.8822385)"
11653329060,40,NA,"c(-46.4329002, -23.4364965)"
11653329061,40,NA,"c(-46.432786, -23.4364765)"
11653329062,50,NA,"c(-46.3981739, -23.436151)"
11817541698,90,60,"c(-46.7169005, -23.6303538)"
11980904279,40,NA,"c(-46.5710284, -23.6657745)"
11993097042,50,NA,"c(-46.4632592, -23.4904122)"
12162386683,40,NA,"c(-46.626735, -23.4872583)"
12291964856,40,NA,"c(-46.5523813, -23.689814)"
12291997297,40,NA,"c(-46.7337935, -23.5278455)"
12291997298,40,NA,"c(-46.7338068, -23.5278313)"
12334313838,80,NA,"c(-46.4701051, -23.8990755)"
12455063375,40,NA,"c(-46.581144, -23.5494948)"
12487174244,NA,NA,"c(-46.5319274, -23.7841686)"
12487174247,NA,NA,"c(-46.5317203, -23.7842082)"
12513087038,40,NA,"c(-46.4157344, -23.5240761)"
