"","from","to"
"87","87","  OITENTA E SETE  "
"88","88","  OITENTA E OITO  "
"89","89","  OITENTA E NOVE  "
"90","90","  NOVENTA  "
"91","91","  NOVENTA E UM  "
"92","92","  NOVENTA E DOIS  "
"93","93","  NOVENTA E TRES  "
"94","94","  NOVENTA E QUATRO  "
"95","95","  NOVENTA E CINCO  "
"96","96","  NOVENTA E SEIS  "
"97","97","  NOVENTA E SETE  "
"98","98","  NOVENTA E OITO  "
"99","99","  NOVENTA E NOVE  "
"100","100","  CEM  "
"101","101","CENTO E   UM  "
"102","102","CENTO E   DOIS  "
"103","103","CENTO E   TRES  "
"104","104","CENTO E   QUATRO  "
"105","105","CENTO E   CINCO  "
"106","106","CENTO E   SEIS  "
"107","107","CENTO E   SETE  "
"108","108","CENTO E   OITO  "
"109","109","CENTO E   NOVE  "
"110","110","CENTO E   DEZ  "
"111","111","CENTO E   ONZE  "
"112","112","CENTO E   DOZE  "
"113","113","CENTO E   TREZE  "
"114","114","CENTO E   QUATORZE  "
"115","115","CENTO E   QUINZE  "
"116","116","CENTO E   DEZESSEIS  "
"117","117","CENTO E   DEZESSETE  "
"118","118","CENTO E   DEZOITO  "
"119","119","CENTO E   DEZENOVE  "
"120","120","CENTO E   VINTE  "
"121","121","CENTO E   VINTE E UM  "
"122","122","CENTO E   VINTE E DOIS  "
"123","123","CENTO E   VINTE E TRES  "
"124","124","CENTO E   VINTE E QUATRO  "
"125","125","CENTO E   VINTE E CINCO  "
"126","126","CENTO E   VINTE E SEIS  "
"127","127","CENTO E   VINTE E SETE  "
"128","128","CENTO E   VINTE E OITO  "
"129","129","CENTO E   VINTE E NOVE  "
"130","130","CENTO E   TRINTA  "
"131","131","CENTO E   TRINTA E UM  "
"132","132","CENTO E   TRINTA E DOIS  "
"133","133","CENTO E   TRINTA E TRES  "
"134","134","CENTO E   TRINTA E QUATRO  "
"135","135","CENTO E   TRINTA E CINCO  "
"136","136","CENTO E   TRINTA E SEIS  "
"137","137","CENTO E   TRINTA E SETE  "
"138","138","CENTO E   TRINTA E OITO  "
"139","139","CENTO E   TRINTA E NOVE  "
"140","140","CENTO E   QUARENTA  "
"141","141","CENTO E   QUARENTA E UM  "
"142","142","CENTO E   QUARENTA E DOIS  "
"143","143","CENTO E   QUARENTA E TRES  "
"144","144","CENTO E   QUARENTA E QUATRO  "
"145","145","CENTO E   QUARENTA E CINCO  "
"146","146","CENTO E   QUARENTA E SEIS  "
"147","147","CENTO E   QUARENTA E SETE  "
"148","148","CENTO E   QUARENTA E OITO  "
"149","149","CENTO E   QUARENTA E NOVE  "
"150","150","CENTO E   CINQUENTA  "
"151","151","CENTO E   CINQUENTA E UM  "
