logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
RUA CRISTINA,NA,30,yes,NA,residential,169.9230398422015
RUA CRISTINA BECK,NA,NA,no,asphalt,residential,275.7573876353271
RUA CRISTINA DE VASCONCELOS CECCATO,NA,NA,yes,asphalt,residential,638.551695817149
RUA CRISTINA DESMARES,NA,NA,NA,asphalt,residential,118.54742574528711
RUA CRISTINA FIDELIS,NA,NA,NA,asphalt,residential,362.8384977020064
RUA CRISTINA GOTTSERITZ GONCALVES,NA,NA,NA,NA,residential,160.06210472091544
RUA CRISTINA PIAM,NA,NA,NA,asphalt,residential,262.513664467271
RUA CRISTINA REJANE CAMILO,NA,NA,NA,NA,residential,221.01520532194817
RUA CRISTINA SCHUNCK KLEIN,NA,NA,NA,NA,residential,338.25978200124706
RUA CRISTINA TOMAZ,NA,NA,no,asphalt,residential,166.00827766398115
RUA CRISTINAPOLIS,NA,NA,NA,NA,residential,75.80146437693755
RUA CRISTINO B OLIVEIRA,NA,NA,NA,paved,residential,180.79132889975654
RUA CRISTINO CASTRO,NA,NA,NA,asphalt,residential,450.1843955204298
RUA CRISTINO DA SILVA,NA,NA,NA,NA,residential,72.0433067562529
RUA CRISTO MAUM MARQUES,NA,NA,NA,asphalt,residential,104.52408710292234
RUA CRISTO OPERARIO,NA,40,NA,asphalt,residential,325.01086988096625
RUA CRISTO REDENTOR,NA,NA,NA,asphalt,residential,289.50222727099487
RUA CRISTO REI,NA,NA,no,asphalt,residential,641.7915866911729
RUA CRISTO REINA,NA,NA,NA,NA,service,91.54992572175291
RUA CRISTOBAL CLAUDIO ELILO,NA,NA,NA,NA,residential,604.791951045049
RUA CRISTOFORO MANTEGAZZA,NA,NA,NA,NA,residential,524.4295322670984
RUA CRISTOLANDIA,NA,NA,NA,NA,residential,661.3410610399345
RUA CRISTOPOLIS,NA,NA,no,asphalt,residential,333.39304103596993
RUA CRISTOVAM DE LIMA,NA,NA,NA,NA,residential,54.655401129858966
RUA CRISTOVAM LOPES,NA,NA,NA,NA,residential,65.19971356674304
RUA CRISTOVAM MARCHINI,NA,NA,NA,asphalt,residential,113.8821847153802
RUA CRISTOVAM MORAIS DA ROCHA,NA,NA,NA,NA,residential,352.1236628201724
RUA CRISTOVAO AGUIAR ALTERO,NA,NA,NA,NA,residential,163.34366810469754
RUA CRISTOVAO AIRES,NA,NA,NA,NA,residential,233.3490468682339
RUA CRISTOVAO ALVES,NA,NA,NA,asphalt,residential,114.73295210149713
RUA CRISTOVAO ARRAES,NA,NA,no,asphalt,residential,485.23565177796104
RUA CRISTOVAO BABBI,NA,NA,NA,NA,residential,104.11251707932671
RUA CRISTOVAO BENITEZ,NA,NA,NA,NA,residential,423.4604689080551
RUA CRISTOVAO BEZERRA DANTAS,NA,NA,NA,NA,residential,727.5265646280644
RUA CRISTOVAO CABRAL,NA,NA,yes,asphalt,residential,72.58442036296742
RUA CRISTOVAO CAMARGO,NA,NA,NA,asphalt,residential,724.0387164291022
RUA CRISTOVAO COLOMBO,4,36.67,yes,asphalt,residential,2229.491703852111
RUA CRISTOVAO COLOMBO GONCALVES,NA,NA,NA,asphalt,residential,425.54576355578337
RUA CRISTOVAO DA COSTA,NA,50,no,NA,residential,121.19811768423996
RUA CRISTOVAO DA ROCHA,NA,NA,NA,NA,residential,99.08341075592857
RUA CRISTOVAO DE ALENCAR,NA,NA,NA,asphalt,service,97.54253182535572
RUA CRISTOVAO DE ARAUJO,NA,NA,NA,asphalt,residential,193.41473105186168
RUA CRISTOVAO DE BARROS,NA,NA,yes,asphalt,residential,321.45921610924324
RUA CRISTOVAO DE BURGOS,2.33,NA,yes,asphalt,tertiary,244.60749741051745
RUA CRISTOVAO DE FIGUEIREDO,NA,NA,NA,NA,residential,508.44339335200453
RUA CRISTOVAO DE FIGUEREDO,NA,NA,NA,NA,residential,113.11169340325823
RUA CRISTOVAO DE GOUVEIA,NA,NA,no,asphalt,residential,493.04056555574294
RUA CRISTOVAO DE LA CRUZ,NA,NA,NA,NA,residential,208.5488253760612
RUA CRISTOVAO DE OLIVEIRA,2,NA,no,asphalt,tertiary,752.1946699653622
RUA CRISTOVAO DE SALAMANCA,NA,40,NA,asphalt,residential,888.3845461773329
RUA CRISTOVAO DE VASCONCELOS,2,NA,yes,asphalt,tertiary,506.841732206662
RUA CRISTOVAO DINIZ,NA,NA,NA,asphalt,residential,133.20985208092586
RUA CRISTOVAO FERNANDES,NA,NA,NA,NA,residential,61.710145069642465
RUA CRISTOVAO GIRAO,NA,NA,yes,asphalt,residential,410.8291610509468
RUA CRISTOVAO GONCALVES,2.25,40,yes,asphalt,secondary,204.46970947074098
RUA CRISTOVAO JACQUES,2,NA,NA,asphalt,residential,490.01824881737815
RUA CRISTOVAO JAQUES,2,40,NA,asphalt,residential,995.5456378059895
RUA CRISTOVAO JUNQUEIRA DE ALMEIDA,NA,NA,NA,NA,residential,69.79344715294181
RUA CRISTOVAO LEAL,NA,NA,NA,asphalt,residential,110.51572382530355
RUA CRISTOVAO LINS,2,37.5,NA,asphalt,tertiary,1200.917716317645
RUA CRISTOVAO LINS DE VASCONCELOS,NA,NA,NA,NA,residential,242.54689152334458
RUA CRISTOVAO LOPES,NA,NA,NA,asphalt,residential,595.9192057584232
RUA CRISTOVAO MARCHINI,NA,NA,NA,asphalt,residential,57.823750947343044
RUA CRISTOVAO MENDES,2,40,NA,asphalt,tertiary,461.49397361466606
RUA CRISTOVAO MONTEIRO,NA,NA,NA,asphalt,residential,147.19010923700867
RUA CRISTOVAO MORALES,NA,NA,NA,NA,service,38.3415960951963
RUA CRISTOVAO PAIS ALTERO,NA,NA,no,paved,residential,255.21647887106974
RUA CRISTOVAO PEREIRA,NA,NA,NA,asphalt,residential,1765.2044851199673
RUA CRISTOVAO PINTO FERRAZ,NA,NA,NA,NA,residential,62.83644468413258
RUA CRISTOVAO SANTIAGO,NA,NA,NA,asphalt,residential,265.517027556043
RUA CRISTOVAO VAZ,NA,NA,yes,asphalt,residential,125.10311781360038
RUA CRITIOS,NA,NA,yes,asphalt,residential,406.45344031395604
RUA CRIUVA,NA,36.67,yes,asphalt,residential,1251.2004095230172
RUA CRIXA MIRIM,NA,NA,NA,paved,residential,173.83986902712516
RUA CRIXAS,NA,NA,NA,asphalt,residential,125.53408129936898
RUA CROACIA,2,NA,yes,asphalt,residential,786.3091243120207
RUA CROATA,NA,NA,yes,asphalt,residential,1006.8787686240682
RUA CROMER,NA,NA,yes,NA,residential,179.2488200754772
RUA CROMINIA,NA,NA,no,asphalt,residential,456.2148788108705
RUA CROMOS,NA,NA,NA,NA,residential,80.8870223968991
RUA CROMOSSOMO SIQUEIRA,NA,NA,NA,NA,residential,289.90344114817754
RUA CROQUETA,NA,NA,NA,asphalt,residential,315.03013559458924
RUA CROTOLARIA,NA,NA,NA,NA,residential,184.39598935420642
RUA CRUBIXA,NA,NA,yes,asphalt,residential,349.3794845059132
RUA CRUCAI,NA,NA,yes,asphalt,residential,332.98109399470246
RUA CRUCIANA,NA,30,NA,asphalt,residential,104.2696549679773
RUA CRUCILANDIA,NA,NA,NA,asphalt,residential,224.61128104610546
RUA CRUZ,NA,NA,NA,asphalt,residential,48.539031459738204
RUA CRUZ ALTA,2,NA,yes,asphalt,residential,519.6816441583596
RUA CRUZ DAS ALMAS,2,NA,NA,asphalt,tertiary,571.3210160546762
RUA CRUZ DAS GRACAS,NA,NA,NA,NA,residential,480.14127652345184
RUA CRUZ DE MALTA,2,50,no,asphalt,tertiary,1790.5930472590917
RUA CRUZ DE SOUZA,NA,NA,NA,asphalt,residential,236.61254221943372
RUA CRUZ DO ESPIRITO SANTO,NA,NA,no,asphalt,residential,1485.558941231152
RUA CRUZ E SILVA,NA,NA,NA,NA,residential,131.41352118145764
RUA CRUZ E SOUZA,2,NA,NA,asphalt,residential,1569.7577064678896
RUA CRUZ GOMES,NA,NA,NA,NA,residential,417.33387694487413
RUA CRUZ JOBIM,NA,NA,no,asphalt,residential,701.7739250069665
RUA CRUZ MACHADO,NA,NA,NA,NA,residential,55.38816435623455
RUA CRUZADA SANTA,NA,40,NA,asphalt,residential,252.65351940335233
RUA CRUZALIA,NA,NA,no,paved,residential,185.7419898148006
RUA CRUZEIRO,NA,40,no,asphalt,residential,2301.2962545675223
RUA CRUZEIRO DA FORTALEZA,NA,NA,NA,asphalt,residential,599.4610555079863
RUA CRUZEIRO DO SUL,1.6,NA,yes,asphalt,residential,2208.473908104639
RUA CRUZEIRO DOESTE,NA,NA,NA,NA,residential,380.60416145696234
RUA CRUZEIRO DOS PEIXOTOS,NA,NA,no,paved,residential,106.57519162367636
RUA CRUZEMA,NA,NA,NA,asphalt,residential,165.97907543389553
RUA CRUZES DE PEDRA,NA,NA,NA,NA,residential,611.6781602969206
RUA CRUZETE,NA,NA,yes,asphalt,residential,89.03475330064967
RUA CRUZILIA,NA,NA,yes,asphalt,residential,637.636223583484
RUA CUATIARA,NA,NA,NA,paved,residential,127.80053597352692
RUA CUBA,1.75,40,yes,asphalt,residential,1273.0044528054664
RUA CUBA LIVRE,NA,NA,NA,NA,residential,60.56646531807168
RUA CUBAS DE MENDONCA,2,NA,NA,asphalt,residential,431.1087843748529
RUA CUBATAO,2.89,40,no,asphalt,residential,2866.1999713351706
RUA CUBIARA,NA,NA,NA,asphalt,residential,98.21489282556242
RUA CUBILAI,NA,20,NA,asphalt,service,79.82794672823432
RUA CUCLAME,NA,NA,NA,NA,residential,88.29745366318397
RUA CUEVAS,NA,NA,no,NA,residential,871.6831371055239
RUA CUEVAS TORRES,NA,NA,NA,asphalt,residential,599.5121500874855
RUA CUIABA,NA,NA,yes,asphalt,residential,5058.05193787227
RUA CUIABANO,NA,NA,no,asphalt,residential,71.78686685195252
RUA CUIATE,NA,40,NA,NA,residential,153.9546349323261
RUA CUIM,2,NA,yes,asphalt,residential,713.4717416247963
RUA CUITE VELHO,NA,NA,NA,NA,residential,186.11127190701663
RUA CUITEGI,NA,NA,NA,NA,residential,681.2817675180477
RUA CUITELAO,NA,NA,NA,NA,residential,976.4938043408457
RUA CULTURA DA CIDADANIA,2,NA,yes,asphalt,residential,173.22789492897164
RUA CULTURA POPULAR,NA,NA,NA,NA,residential,381.27923542372656
RUA CULUMEIA,NA,NA,NA,NA,residential,99.78869226006937
RUA CUMAI,2,NA,yes,asphalt,residential,493.99977233478205
RUA CUMANAXOS,NA,NA,yes,asphalt,residential,542.5185514636431
RUA CUMARIA,NA,NA,NA,NA,residential,120.44692417563093
RUA CUMARU,NA,NA,NA,asphalt,residential,719.3361010089382
RUA CUMATI,NA,NA,NA,asphalt,residential,75.44192832349962
RUA CUMBE,2,NA,NA,asphalt,residential,624.9837566405461
RUA CUMBICA,NA,NA,NA,NA,residential,302.62657999735524
RUA CUMINAPANEMA,NA,NA,yes,asphalt,residential,311.9308469586548
RUA CUNHA,NA,NA,no,asphalt,residential,324.60991289883026
RUA CUNHA BARBOSA,2,NA,NA,asphalt,residential,70.50022016986092
RUA CUNHA BUENO,NA,NA,yes,asphalt,residential,98.29086395296312
RUA CUNHA CORREIA,2,30,yes,asphalt,secondary,76.84330822720773
RUA CUNHA DE CARVALHO,NA,NA,no,paved,residential,232.80569759117574
RUA CUNHA GAGO,2.33,40,yes,asphalt,residential,894.2321223330244
RUA CUNHA GONCALVES,NA,NA,no,NA,residential,166.33246384659878
RUA CUNHA HORTA,2,NA,yes,asphalt,residential,103.12068958667388
RUA CUNHA MATOS,2,40,no,asphalt,residential,328.47002183079655
RUA CUNHA MENDES,NA,NA,NA,asphalt,residential,134.33388994711714
RUA CUNHA MENEZES,NA,NA,NA,NA,residential,85.09856090779837
RUA CUNHA PORA,NA,NA,NA,asphalt,residential,560.3163299917138
RUA CUNHA PORTO,NA,NA,NA,asphalt,residential,238.53282826551515
RUA CUNHA SEIXAS,NA,NA,NA,NA,residential,224.70188049551265
RUA CUNHA XAVIER,NA,40,no,asphalt,residential,309.33819360219576
RUA CUNHANREQUARO,NA,NA,NA,NA,residential,273.84476348244846
RUA CUNHATAIS,NA,NA,yes,asphalt,residential,143.16359252922612
RUA CUPA,NA,NA,no,NA,residential,292.47839934700966
RUA CUPIANA,NA,NA,NA,NA,residential,52.29953737803691
RUA CUPIARA,NA,20,NA,asphalt,residential,313.67622446707634
RUA CUPIM,NA,NA,NA,NA,residential,259.2150716646956
RUA CUPIRA,NA,NA,NA,asphalt,residential,220.32063039626763
RUA CUPU NATAL,NA,NA,NA,NA,service,71.18868284373877
RUA CUPUACU,NA,NA,NA,NA,residential,72.80202265563773
RUA CURACAO,NA,NA,NA,NA,residential,539.9143594469011
RUA CURACATUBA,1,NA,yes,asphalt,residential,78.03799724842439
RUA CURAGIRU,NA,NA,NA,asphalt,residential,211.08604496174178
RUA CURARA,NA,NA,NA,NA,residential,159.0315746309755
RUA CUREMA,NA,NA,NA,asphalt,residential,96.04323646103819
RUA CURIA,NA,NA,NA,asphalt,residential,530.8937906661837
RUA CURICHARAS,NA,40,yes,asphalt,residential,272.08943159922757
RUA CURIMATA,NA,NA,NA,NA,residential,112.2485100032699
RUA CURIO,2,NA,NA,asphalt,residential,974.1044286156805
RUA CURITIBA,3,NA,yes,asphalt,residential,2780.0655590257857
RUA CURITIBANOS,NA,NA,NA,NA,residential,116.1703393934378
RUA CURITUBA,NA,NA,no,asphalt,residential,108.22953636921082
RUA CURIUVA,NA,NA,NA,asphalt,residential,168.69446819607256
RUA CURRAIS NOVOS,NA,NA,NA,asphalt,residential,361.9620123105607
RUA CURRUIRA,NA,NA,yes,NA,residential,954.194224716305
RUA CURRUPIAO,NA,NA,NA,asphalt,residential,156.6305907483964
RUA CURT NIMUENDAJU,NA,NA,NA,sett,residential,80.00917924785031
RUA CURUA,NA,NA,NA,asphalt,residential,36.64007833292469
RUA CURUA ACU,NA,NA,yes,asphalt,residential,157.58462866449923
RUA CURUAES,NA,NA,yes,asphalt,residential,285.21334845052695
RUA CURUAMANEMA,NA,NA,NA,NA,residential,278.16745279087195
RUA CURUAPANEMA,NA,NA,NA,asphalt,residential,255.68996080481236
RUA CURUAPE,NA,NA,NA,asphalt,residential,331.2593391588365
RUA CURUCA,2.7,48.24,yes,asphalt,secondary,2704.7523099210966
RUA CURUCAIA,NA,NA,NA,asphalt,residential,319.1231980046074
RUA CURUENA,1,NA,no,asphalt,residential,323.83518292288153
RUA CURUMATAI,NA,NA,NA,NA,residential,200.06706445323536
RUA CURUMATIM,NA,NA,NA,asphalt,residential,465.190433380716
RUA CURUMAU,NA,NA,NA,asphalt,residential,117.62135373004041
RUA CURUMIM,NA,NA,NA,NA,residential,34.069553938935655
RUA CURUMIN,NA,NA,NA,NA,residential,18.590976385946835
RUA CURUPA,2,NA,no,paved,tertiary,935.1381399714935
RUA CURUPACE,2,NA,yes,asphalt,residential,695.6234153187023
RUA CURUPAITI,2,40,yes,asphalt,residential,1289.9002703052827
RUA CURUPIRA,NA,NA,NA,asphalt,residential,163.7467885758898
RUA CURUPIREIRA,NA,NA,yes,asphalt,residential,373.82749913065555
RUA CURUPITE,NA,NA,yes,paved,residential,385.6449214439749
RUA CURURIPE,NA,NA,yes,paved,residential,303.22920407090936
RUA CURURUCA,NA,NA,NA,NA,residential,178.97809908917233
RUA CURUZU,NA,NA,no,asphalt,residential,909.4291463133818
RUA CURVELO,NA,NA,NA,asphalt,residential,211.67810817813174
RUA CUSTODIA,2,NA,no,asphalt,residential,261.3225736673869
RUA CUSTODIA DA SILVA DOMINGUES DOLIVEIRA,NA,NA,NA,NA,residential,354.74133465900996
RUA CUSTODIA MARIA DE JESUS,NA,NA,NA,asphalt,residential,375.1435877047669
RUA CUSTODIA MARIA DOS SANTOS,NA,NA,NA,NA,residential,190.4929787216126
RUA CUSTODIO BERTELLO,NA,NA,NA,paved,residential,75.38100930865217
RUA CUSTODIO CARDOSO,NA,NA,NA,asphalt,residential,393.00398798022627
RUA CUSTODIO COELHO,NA,NA,NA,NA,residential,143.72582508248934
RUA CUSTODIO CORREIA,NA,NA,NA,NA,residential,484.6140240552889
RUA CUSTODIO DA CRUZ,NA,NA,yes,NA,residential,132.06231709814628
RUA CUSTODIO DA FONSECA CARNEIRO,NA,NA,NA,NA,residential,103.97490688868686
RUA CUSTODIO DA SILVA,NA,NA,NA,asphalt,residential,127.19423067527278
RUA CUSTODIO DE AGUIAR,NA,NA,NA,NA,residential,328.3748749875661
RUA CUSTODIO DE ARAUJO,NA,NA,NA,NA,residential,113.89274257863484
RUA CUSTODIO DE MENDONCA,NA,NA,no,asphalt,residential,129.30311577634492
RUA CUSTODIO DE OLIVEIRA,NA,NA,NA,compacted,residential,271.29950077898013
RUA CUSTODIO DIAS,NA,NA,NA,NA,residential,41.86439652591982
RUA CUSTODIO DO NASCIMENTO,NA,40,NA,asphalt,residential,182.02585671710378
RUA CUSTODIO GUIMARAES,NA,NA,no,asphalt,residential,301.6445948462788
RUA CUSTODIO JOSE DUARTE,NA,NA,NA,asphalt,residential,94.33762858269256
RUA CUSTODIO LOBO,NA,NA,yes,paved,residential,141.2682978873301
RUA CUSTODIO MACHADO,NA,NA,NA,NA,residential,229.5144056600867
RUA CUSTODIO MARTINS,NA,NA,NA,NA,residential,200.71809757472175
RUA CUSTODIO MESQUITA,NA,NA,yes,NA,residential,266.6136781675679
RUA CUSTODIO NUNES,NA,NA,NA,asphalt,residential,148.98476544037618
RUA CUSTODIO PAIVA,NA,NA,NA,NA,residential,293.28867772393966
RUA CUSTODIO PEREIRA,NA,NA,NA,NA,residential,54.574097005353146
RUA CUSTODIO PEREIRA LAMEIRA,NA,NA,NA,NA,residential,125.24682674388843
RUA CUSTODIO SAMPAIO PEREIRA,NA,NA,NA,NA,residential,118.81036044582532
RUA CUSTODIO SARAIVA NETO,NA,NA,NA,ground,unclassified,123.82858699997539
RUA CUSTODIO SERRAO,NA,NA,no,asphalt,residential,953.7872339064163
RUA CUSTODIO SOARES,NA,NA,NA,NA,residential,117.58542351062962
RUA CUSTODIO VIEIRA,NA,NA,NA,asphalt,residential,69.68960112236428
RUA CUSTOIAS,NA,NA,NA,asphalt,residential,193.77152583008873
RUA CUVITINGA,NA,NA,NA,NA,residential,46.61151588854405
RUA CUXIPONES,NA,NA,yes,asphalt,residential,559.9429464259206
RUA CUZCO,NA,NA,NA,asphalt,residential,556.1794038439671
RUA CYNTHIA GIUFFRIDA,NA,NA,NA,NA,residential,1271.8705795879189
RUA CYRENA SIQUEIRA BICUDO,NA,NA,NA,asphalt,residential,143.77102833283325
RUA CYRILO PELLOSINI,NA,NA,NA,NA,residential,1440.080817961216
RUA CYRO FRANCO,NA,20,NA,asphalt,residential,52.08123741116475
RUA CYRO MAIA DE CARVALHO,NA,NA,NA,NA,residential,314.6716572722576
RUA CYRO SCHMUTZER FRANCO,NA,NA,NA,NA,residential,298.61125445922863
RUA D,NA,NA,NA,asphalt,residential,6029.754859317467
RUA D ALZIRA PEDROSO DE MELO,NA,NA,NA,NA,residential,104.68428410608092
RUA D1,NA,NA,NA,paved,residential,142.31500541526478
RUA D2,NA,NA,NA,paved,residential,95.54745595033287
RUA D3,NA,NA,NA,paved,residential,95.83419345984443
RUA D4,NA,NA,NA,paved,residential,94.73299796942327
RUA DA ABOLICAO,NA,NA,NA,NA,residential,73.59423783202759
RUA DA AGUIA,NA,NA,NA,NA,residential,241.28966926290173
RUA DA ALEGRIA,1,NA,yes,asphalt,residential,1536.9155373351452
RUA DA ALFANDEGA,NA,NA,yes,asphalt,residential,532.5207828206933
RUA DA AMIZADE,NA,NA,NA,asphalt,residential,2362.4413907322573
RUA DA AMIZADE DO TATUAPE,NA,NA,yes,asphalt,residential,115.48588377660991
RUA DA AREIA,NA,NA,NA,NA,residential,90.57253732556795
RUA DA ARVORE,2,40,NA,asphalt,residential,1002.952352404986
RUA DA ASPEREZA,NA,NA,yes,asphalt,residential,286.21918001263566
RUA DA ASPIRACAO,NA,NA,NA,NA,residential,211.3581948464465
RUA DA ASSEMBLEIA,NA,NA,NA,NA,service,97.06990309180716
RUA DA ASSOCIACAO,2,NA,yes,asphalt,residential,215.8467089929928
RUA DA AVELANEIRA,NA,NA,NA,NA,residential,136.4907295150306
RUA DA AVIACAO,2,NA,NA,NA,tertiary,662.2001810338143
RUA DA BABILONIA,NA,NA,NA,NA,residential,47.98651021625844
RUA DA BALSA,NA,NA,yes,asphalt,residential,113.20270155407847
RUA DA BANDUIRA,NA,25,yes,asphalt,residential,741.3887516042432
RUA DA BARACELA,NA,NA,NA,asphalt,residential,624.8604601946495
RUA DA BARRA,NA,NA,NA,NA,residential,234.09139466061026
RUA DA BATALHA,NA,NA,NA,asphalt,residential,105.48028042365863
RUA DA BENCAO,NA,NA,NA,paved,residential,723.3350104057334
RUA DA BIBLIOTECA,NA,NA,no,asphalt,unclassified,265.3085184889119
RUA DA BICA,2,NA,no,asphalt,residential,1639.040984489895
RUA DA BITA,NA,NA,NA,NA,unclassified,89.7194797899959
RUA DA BOLSA,NA,NA,NA,asphalt,residential,100.33023506890946
RUA DA BONANCA,NA,NA,no,asphalt,residential,270.91646952039605
RUA DA BONDADE,NA,NA,NA,asphalt,residential,156.33036680787487
RUA DA BOQUENA,NA,NA,NA,asphalt,residential,145.55939277540625
RUA DA BORBOLETA,NA,NA,yes,asphalt,residential,61.251275270013686
RUA DA BRISA,NA,NA,NA,asphalt,residential,200.74465658181188
RUA DA CACHOEIRA,NA,NA,NA,NA,residential,210.0301553489138
RUA DA CAIXA D AGUA,NA,NA,NA,NA,unclassified,224.14269913682946
RUA DA CAIXA DAGUA,NA,NA,no,NA,residential,321.63902685190527
RUA DA CALENDA,1.75,NA,yes,asphalt,tertiary,248.4295753505912
RUA DA CALMA,NA,NA,NA,NA,residential,338.86840444775845
RUA DA CAMINHADEIRA,NA,NA,no,asphalt,residential,110.12012128927003
RUA DA CANCONETA,NA,NA,NA,NA,residential,66.45618725830565
RUA DA CANDIDA,NA,NA,yes,paved,residential,233.65806758026167
RUA DA CANTAREIRA,3.1,50,yes,asphalt,tertiary,2040.005473514952
RUA DA CAPELA,NA,NA,NA,asphalt,residential,240.71565067689605
RUA DA CAPELINHA,NA,NA,NA,NA,residential,179.13746829714776
RUA DA CAPITACAO,NA,NA,NA,NA,residential,474.45023282065847
RUA DA CARAVANA,NA,NA,NA,NA,residential,202.5356383621062
RUA DA CARVOEIRA,NA,NA,NA,NA,residential,297.88200415634094
RUA DA CAVALGADA,NA,20,NA,asphalt,residential,997.5622877128794
RUA DA CHACARA,NA,NA,NA,asphalt,residential,811.3393874118208
RUA DA CHIBATA,2,NA,NA,asphalt,residential,225.25912560574872
RUA DA CIPAUBA,NA,NA,NA,NA,residential,218.5873646415244
RUA DA COLONIA NOVA,NA,NA,NA,NA,residential,234.46265422347867
RUA DA COMUNIDADE,NA,30,NA,asphalt,residential,681.7613550368623
RUA DA CONCORDANCIA,NA,NA,NA,asphalt,residential,194.5543665737655
RUA DA CONCORDIA,NA,NA,NA,NA,residential,937.1979287354734
RUA DA CONFIDENCIA,NA,NA,NA,NA,residential,60.581770212867504
RUA DA CONFRATERNIZACAO,NA,NA,NA,asphalt,residential,301.2625937870489
RUA DA CONQUISTA,NA,NA,NA,asphalt,residential,1210.0670869973826
RUA DA CONQUISTA POPULAR,NA,NA,NA,NA,residential,99.48543233556113
RUA DA CONSOLACAO,3.44,46,yes,asphalt,primary,6532.566098496695
RUA DA CONSTITUICAO,NA,NA,NA,asphalt,residential,1298.1757377703568
RUA DA CONSTITUINTE,NA,NA,NA,asphalt,residential,634.5838494968831
RUA DA CONSTRUCAO,NA,NA,NA,asphalt,residential,77.56259833932339
RUA DA CONTAGEM,NA,30,NA,asphalt,residential,469.5158055755575
RUA DA COOPERACAO,NA,NA,NA,NA,residential,215.2407448951121
RUA DA CORDIALIDADE,NA,NA,NA,NA,residential,197.70278802206275
RUA DA COREOGRAFIA,NA,NA,NA,NA,residential,63.15257345305756
RUA DA COROA,1.8,40,yes,asphalt,tertiary,616.5117403433628
RUA DA COSTA NOVA DO PRADO,NA,NA,NA,asphalt,residential,478.46575379867295
RUA DA CRECHE,NA,NA,NA,asphalt,residential,203.22911099899682
RUA DA CURVA,NA,30,NA,asphalt,residential,127.57268374393378
RUA DA DANCA CIGANA,NA,NA,NA,asphalt,residential,702.0791091623762
RUA DA DIAFONIA,NA,NA,yes,asphalt,residential,65.78801991132616
RUA DA DIREITA,NA,NA,NA,NA,residential,264.10741072535353
RUA DA DIVAGACAO,NA,NA,NA,asphalt,residential,55.05164855219933
RUA DA DIVERSAO,NA,NA,NA,NA,residential,149.52291268852883
RUA DA DIVISA,NA,NA,NA,asphalt,residential,162.81018667213743
RUA DA ECOLOGIA,NA,NA,NA,NA,residential,98.31383055759241
RUA DA ECONOMIA,NA,NA,NA,asphalt,residential,463.7348817964227
RUA DA EDUCACAO,NA,NA,NA,unpaved,residential,557.4045542281852
RUA DA EMA,NA,NA,NA,NA,residential,92.78655422295488
RUA DA ENCOSTA,NA,NA,no,NA,residential,160.12833452109794
RUA DA ENGRENAGEM,2,NA,NA,paved,tertiary,299.7053497658634
RUA DA ENSEADA,NA,NA,yes,NA,residential,45.088986192094715
RUA DA ENTRADA,NA,30,no,paved,service,108.27209616952496
RUA DA ESCOLA,NA,NA,NA,asphalt,service,60.867897463014806
RUA DA ESPERANCA,NA,40,yes,asphalt,residential,1786.3809705041508
RUA DA ESTACAO,2.33,40,yes,asphalt,secondary,805.228651115915
RUA DA ESTILISTICA,NA,NA,NA,NA,residential,199.26933419301906
RUA DA ESTROFE,NA,NA,NA,asphalt,residential,68.4643373043757
RUA DA ETERNIDADE,1.4,NA,yes,asphalt,tertiary,479.8999810025043
RUA DA EVOLUCAO,2,30,NA,asphalt,residential,347.87502889392186
RUA DA FANTASIA,NA,NA,NA,NA,service,170.83089151953024
RUA DA FAZENDINHA,NA,NA,NA,NA,residential,614.4137762141187
RUA DA FE,NA,NA,NA,paved,residential,644.8658579789477
RUA DA FEIRA,NA,NA,NA,NA,residential,153.9683618269827
RUA DA FELICIDADE,NA,NA,NA,NA,residential,55.80146793716715
RUA DA FIGUEIRA,2.97,47.6,yes,asphalt,primary,2038.1052801485007
RUA DA FIGUEIRA BENJAMIN,NA,NA,NA,asphalt,residential,196.17246598296796
RUA DA FILARMONIA,NA,NA,NA,NA,residential,51.294517492019445
RUA DA FLORESTA,NA,NA,no,NA,residential,476.6609507286076
RUA DA FONTE,1,NA,yes,asphalt,residential,1045.0275454425769
RUA DA FORTUNA,2,NA,yes,asphalt,residential,1592.3087896281418
RUA DA FRANQUEZA,NA,NA,NA,NA,residential,48.462872225393276
RUA DA FRATERNIDADE,3,30,no,asphalt,residential,1611.1610371038
RUA DA GAITA DE FOLES,NA,NA,NA,asphalt,residential,471.8507519458291
RUA DA GARCA,NA,NA,NA,unpaved,residential,480.51451855932885
RUA DA GAVEA,NA,NA,yes,asphalt,tertiary,20.47467135099641
RUA DA GAVIA,NA,NA,NA,unpaved,residential,106.53656527099267
RUA DA GAVOTA,NA,NA,NA,NA,residential,144.2546575369506
RUA DA GENOVEVA,NA,NA,no,asphalt,residential,253.9259230663664
RUA DA GLORIA,2,40,yes,asphalt,tertiary,3194.5746117437675
RUA DA GRACA,1.5,50,yes,asphalt,residential,1506.398192864002
RUA DA GRANJA,NA,NA,yes,unpaved,residential,1252.5628028559152
RUA DA GRANJA JULIETA,NA,NA,yes,asphalt,residential,402.6481113551219
RUA DA GROTA,NA,40,NA,asphalt,residential,695.5338990968519
RUA DA HARMONIA,NA,NA,NA,NA,residential,70.46616682607714
RUA DA HUMILDADE,NA,NA,NA,unpaved,residential,447.6946881309802
RUA DA IDA,NA,NA,NA,NA,residential,116.06823120333718
