logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
ACESSO DE DESEMBARQUE DO TERMINAL 3 DO AEROPORTO INTERNACIONAL DE CUMBICA,2,30,yes,NA,unclassified,264.9573303588963
ACESSO DE EMBARQUE A VEICULOS LEVES DO TERMINAL 3 DO AEROPORTO INTERNACIONAL DE CUMBICA,2,30,yes,NA,unclassified,268.77538630627174
ACESSO DE EMBARQUE DO TERMINAL 2 DO AEROPORTO INTERNACIONAL DE CUMBICA,2,NA,yes,asphalt,unclassified,707.267311462693
ACESSO DE EMBARQUE DO TERMINAL 3 DO AEROPORTO INTERNACIONAL DE CUMBICA,2.33,30,yes,NA,unclassified,275.09910952875555
ACESSO DE TAXIS,NA,NA,no,asphalt,service,257.44607552865847
ACESSO ENTRADA DE EMERGENCIA,NA,NA,yes,NA,service,108.0693898625272
ACESSO ENTRADA DO JOQUEI,NA,NA,yes,NA,service,78.35731557051464
ACESSO ESCADARIA,NA,NA,NA,NA,residential,112.47890603683325
ACESSO ESTRADA DOS ALVARENGAS,1,NA,yes,asphalt,primary,54.59588614021898
ACESSO FECHADO,NA,NA,NA,asphalt,residential,62.215099032603376
ACESSO GAIVOTA CINZA,NA,NA,NA,NA,residential,171.2882205365844
ACESSO GARCA BRANCA,NA,NA,NA,NA,residential,185.8212174927801
ACESSO GAVIAO REAL,NA,NA,NA,NA,residential,118.52534948105685
ACESSO JURITI MARRON,NA,NA,NA,NA,residential,296.56555118751675
ACESSO LOCAL,NA,NA,no,paved,residential,29.790317144784108
ACESSO MARGINAL TIETE CENTRAL,2,70,yes,asphalt,motorway,333.0230768132449
ACESSO MATERNIDADE,NA,NA,NA,NA,service,68.49346320833762
ACESSO NATURA  NASP,NA,NA,yes,NA,service,287.3957448792842
ACESSO PARA BATALHAO DA POLICIA DO EXERCITO,NA,NA,NA,asphalt,unclassified,2186.179745807146
ACESSO PARDAL CINZA,NA,NA,NA,NA,residential,309.8207661846361
ACESSO PARQUE ECOLOGICO TIETE,NA,NA,no,asphalt,residential,151.73070514363917
ACESSO PAVAO REAL,NA,NA,NA,NA,residential,359.78414840103636
ACESSO PINTASSILGO ROSA,NA,NA,NA,NA,residential,142.6562874769377
ACESSO PIXOXO DA SERRA,NA,NA,NA,NA,residential,160.27087827004604
ACESSO PONTE ANHANGUERA,2,NA,yes,asphalt,secondary,243.9870144683121
ACESSO PRACA TRABALHADORES DA MERCEDES BENZ,2,NA,yes,NA,trunk_link,80.0856031939758
ACESSO RESIDENCIAL COM VAGAS,NA,NA,NA,NA,service,181.00816368674498
ACESSO RESTRITO,NA,NA,NA,NA,service,153.6943354890859
ACESSO RODOANEL MARIO COVAS,1.52,63.81,yes,asphalt,motorway_link,7314.03495675421
ACESSO RODOVIA DOS BANDEIRANTES,2,60,yes,NA,motorway_link,424.48587826486954
ACESSO RUA JOSE BONIFACIO,2,40,yes,asphalt,secondary,47.415806888587895
ACESSO RUA LUISIANA,NA,NA,yes,NA,residential,17.590917995534983
ACESSO RUA OITO,NA,NA,NA,NA,service,191.7279596772034
ACESSO SABESP,NA,NA,NA,NA,service,64.39878637375504
ACESSO SABIA LARANJEIRA,NA,NA,NA,NA,residential,148.24772864522376
ACESSO SERVICO DA CCR,NA,NA,yes,paved,service,137.25270930303532
ACESSO SHOPPING CENTER NORTE,NA,NA,yes,asphalt,service,186.86195931650147
ACESSO SHOPPING TABOAO,NA,20,yes,concrete,service,111.17837985633255
ACESSO SPA086021,4.25,63.33,yes,asphalt,motorway_link,2196.6664083388246
ACESSO TUCANO PRETO,NA,NA,NA,NA,residential,185.9274374128178
ACESSO UIRAPURU DO SERTAO,NA,NA,NA,NA,residential,434.0653852070074
ACESSO UM,NA,NA,NA,paved,residential,86.06826104363435
ACESSO VALET,NA,NA,NA,asphalt,service,45.97229140097859
ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,1,40,yes,paved,trunk_link,151.25243827176593
ACESSO VIADUTO UNICO GALLAFRIO,NA,NA,NA,NA,residential,77.80471098737294
ADIENT,NA,20,no,asphalt,service,48.781842401609275
ALAMEDA 1,NA,NA,NA,NA,residential,126.24565812815474
ALAMEDA 2,NA,NA,NA,NA,residential,1367.2792670382032
ALAMEDA 3,NA,NA,NA,asphalt,residential,285.0218731231837
ALAMEDA 4,NA,NA,NA,NA,residential,619.2812616262294
ALAMEDA ABRAAO,NA,NA,NA,NA,service,115.65328444511273
ALAMEDA ACAUA,NA,NA,NA,NA,residential,186.11127666266748
ALAMEDA ACOPIARA,NA,NA,NA,NA,residential,62.042760414419824
ALAMEDA AFONSO BOCCHIGLIERI,NA,NA,yes,asphalt,residential,493.98714620669944
ALAMEDA AFONSO SCHMIDT,2.08,50,no,asphalt,secondary,1067.341177244903
ALAMEDA AGOSTINHO DELLA TORRE,NA,NA,NA,NA,residential,374.321265117149
ALAMEDA AIDA,NA,NA,yes,asphalt,residential,420.4456033856068
ALAMEDA AIRTON ALEXANDRE CO,NA,NA,NA,NA,residential,1196.5796385014162
ALAMEDA ALBATROZ,2,30,NA,paved,residential,2266.9750663766904
ALAMEDA ALFAZEMA,NA,NA,NA,unpaved,residential,181.69375393847372
ALAMEDA ALVARO DE MORAIS,NA,NA,NA,NA,residential,87.85828030165366
ALAMEDA AMANDE,NA,NA,NA,NA,residential,273.86359732181
ALAMEDA AMAZONAS,NA,NA,NA,NA,residential,272.1125770246765
ALAMEDA AMELIA,NA,NA,yes,NA,residential,888.2577279483712
ALAMEDA AMERICA,NA,NA,yes,asphalt,tertiary,1280.5061335753167
ALAMEDA ANGELINA CANER PAZZINI,NA,30,NA,NA,residential,113.37244777427536
ALAMEDA ANGELINS,NA,NA,NA,NA,residential,91.44214528187865
