ID,periodo,sinistros,envolvidos_fatal,envolvidos_grave,envolvidos_leve,envolvidos_ileso,envolvidos_na,mortes_moto,mortes_pedestre_bike,trechos,comprimento,faixas,limite_velocidade,amenidades,intersec,tipo_via,radar_proximo,mao_unica,superficie,segmento,id_trecho_agregado,coorte
1,89,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,90,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,91,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,92,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,93,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,94,1,0,0,1,0,2,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,95,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,96,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,97,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,98,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,99,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,100,2,0,0,2,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,101,2,0,0,2,0,3,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,102,1,0,0,1,0,1,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,103,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,104,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,105,1,0,0,1,0,2,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,106,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,107,1,0,0,1,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,108,3,0,0,3,0,3,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,109,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,110,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,111,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,112,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,113,1,1,0,0,0,1,1,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,114,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,115,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,116,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,117,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,118,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,119,1,0,0,1,0,2,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,120,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,121,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,122,1,0,0,1,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,123,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,124,0,0,0,0,0,0,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
1,125,1,0,0,1,0,1,0,0,3,536.6410234594841,4,50,3,24,trunk,1,yes,asphalt,agregados,00049-000-001,0
2,49,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,50,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,51,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,52,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,53,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,54,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,55,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,56,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,57,1,0,1,1,0,1,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,58,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,59,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,60,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,61,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,62,1,0,0,2,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,63,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,64,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,65,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,66,1,0,0,1,0,1,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,67,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
2,68,0,0,0,0,0,0,0,0,2,470.8960406557827,3.5,50,2,30,primary,0,yes,asphalt,agregados,00049-000-004,0
